video,script,self-confidence,creativity,enthusiasm,future-orientation,trustworthiness,proactive-personality
68,"video68.mp4
 

 Speaker1: [00:00:09] Have you ever had jerky only to find yourself asking, what did I just eat? Either it was tougher than shoe leather or filled with so much garbage, you had no idea what you were putting in your body.
 

 Speaker2: [00:00:18] Well, Kickstarter, you helped us change all that when we introduced the world to 100% filet mignon beef jerky. Just a few years ago, since our successful first Kickstarter campaign, we've been hard at work. We aired on Shark Tank partnered with Daymond John. It's just that one thing has been missing.
 

 Speaker3: [00:00:40] Oh Foley Jordan, I was sitting here in my office 3:00 in the morning or 3:00 at night. Whatever it is, I was having my my nightly soy vay bottle, and I was just thinking, why don't we do three jerks? Jerky, sorbet. But here's what I want you to do. When you do it. You got to go back where you started from Kickstarter, your old hood, where you came from. But you got to give a portion of the proceeds to all those coming up on Kickstarter. But you got to do this. This is it right here. You got to do some sorbet. Three jerks. Jerky. Let's get this done, man.
 

 Speaker2: [00:01:16] All right, guys, you heard it. Daymond John. He wants teriyaki. He wants three jerks. Jerky. He wants Kickstarter. We're coming back. But first I'm gonna find fogey. We're going to the kitchen, and we're coming back with something delicious.
 

 Speaker1: [00:01:30] Hey there again. We've partnered with our good friends at Soy Vay to take their very, very teriyaki sauce and marinate our filet mignon beef jerky to perfection. What you get is the most tender, gingery, garlicky, sesame covered beef jerky ever made. It's sweet, savory, and melts in your mouth. Kickstarter. This stuff is so good and we're bringing it to you first.
 

 Speaker2: [00:01:57] All joking aside, we know that our business would not be where it is today if it wasn't for this awesome community. That's why we're bringing this to you. First, we've got amazing Kickstarter only rewards. Check them out down there, Daymond John specials. Get them while you can. We're also doing something cool. We're giving back. We're personally matching 5% of everything we raise in this campaign and contributing to five other projects that we think show awesome entrepreneurial spirit. It's our way of staying connected to the community that gave us our start. This jerky is very, very good. Don't take my word for it though. Daymond John's here. He's a geologist. He knows these things. Let's see if it passed his test.
 

 Speaker3: [00:02:37] Man, this soy made three jerk jerky is amazing. It is on Kickstarter right now. Get it right now I mean it.",98.52,7,2,1.37,5,9
69,"video69.mp4
 

 Speaker1: [00:00:05] So wild Merman was born because we really believe in living free and following our own path. For us, he represents this power to live strong and healthy and also harmoniously with nature. Hi, I'm Brendan.
 

 Speaker2: [00:00:20] And I'm Tracey.
 

 Speaker1: [00:00:21] And we're the creators of Wild Mermaid and Salmon Jerky.
 

 Speaker2: [00:00:24] Creating food has always been our passion. We spend a lot of our time gardening, cooking, and eating nourishing foods. So about three years ago we decided to start making our own salmon jerky. We've always used organic ingredients.
 

 [00:00:41] Honey and wild salmon.
 

 Speaker2: [00:00:44] Our goal has been to create a tasty, high protein snack that we could bring with us on the go. And after a lot of experimentation and feedback from our friends and family, we've decided to make this bigger so we can share it with you. Over the past year, we've fine tuned our recipes and assigned some pretty awesome labels. We've also been working with an amazing Co-packer and now we have three really exciting flavours honey Dijon, chipotle molasses and roasted garlic.
 

 Speaker1: [00:01:14] We would love for you guys to be a part of this. So here's how we can grow together. We're asking for your support so we can get lab analysis done on all three of our flavours. But most importantly, run our first full scale production run. And in exchange, we're going to hook you guys up with some awesome salmon jerky.
 

 Speaker2: [00:01:32] Thank you so much for supporting our dreams. Thanks.",99,6,5,0.66,5,9
70,"video70.mp4
 

 Speaker1: [00:00:03] Hi, I'm Scott.
 

 Speaker2: [00:00:04] Better known as Jake. I'm Greg, we're co-founders of Captain Jake's Jerky.
 

 Speaker1: [00:00:09] Throughout my day, I travel quite often and look for a high protein snack like beef jerky. I'll stop at a convenience store and pick up a bag of jerky and disappointed with its flavor because it has high preservatives, high in salt, and just totally tasteless. So about a year and a half ago, I started making my own beef jerky, trying different ingredients, coming up with different marinades, using no preservatives, no MSG, and less than sodium. To this day, I've come up with some great marinades with bold, unique flavoring.
 

 Speaker2: [00:00:41] Jake and I have known each other for over 30 years, and I believe with my background in accounting, small business, and food service, I can make this business grow.
 

 Speaker1: [00:00:52] And my 20 years of experience in the media will help with marketing and promotional campaigns. The texture of our jerky is easy, but not tough, like biting into a piece of shoe leather. All our jerky is made with high quality black Angus beef. Korean sashimi has a nice tangy and sweet with sesame overtones. Chili. You'll think you're eating a bowl of chili. You may want some cornbread with that classic twist your classic jerky taste with pepper, but not too hot. With a twist of sweet, smoky, fruity flavor, Mesquite barbecue is a complex, light, smoky barbecue flavor you think came right off the backyard grill. There you go.
 

 Speaker3: [00:01:32] Thanks, captain.
 

 Speaker2: [00:01:33] Jake, Jake and I, for the last 18 months have been researching the jerky business, working out all of the details.
 

 Speaker1: [00:01:40] We hired a company for expert market research that shows jerky growth. Sales in 2012 were up almost 13% and continued growth in 2013.
 

 Speaker2: [00:01:50] Because beef jerky is a healthy snack, market research projects increase in jerky sales for the next several years. Captain Jake's jerky logo and website are ready to go. We have our business plan completed. We also have a signed contract with a family owned USDA A inspected facility with over 30 years experience in making jerky.
 

 Speaker1: [00:02:15] I have some jerky.
 

 Speaker4: [00:02:17] Fingers, Cousin Jake.
 

 Speaker1: [00:02:21] While running this Kickstarter campaign. The USDA facility is running test batches to get our recipes just right for larger orders so we can be ready to go once we hit our goal.
 

 Speaker2: [00:02:31] This is where you come in Kickstarter community.
 

 Speaker1: [00:02:34] With your contribution, we can take this to the next step and offer Captain Jake's Jerky to the American public.
 

 Speaker2: [00:02:40] Your contribution will produce the first batches of jerky package and label design bar codes. Government approval of ingredients for labeling.
 

 Speaker1: [00:02:50] Captain Jake's jerky offers a healthy protein snack. You just put it in your bag or pocket and go.
 

 Speaker2: [00:02:56] Whether you have a job that keeps you on the road or you are a skier, camper, hiker, or just want to lay on the beach, Captain Jake's Jerky has the perfect snack for you. Thank you for your support.
 

 Speaker1: [00:03:08] We hope soon you'll be enjoying Captain Jake's jerky.
 

 Speaker5: [00:03:13] Thanks, captain. Jake.",71.8,6,9,2.1,7,10
71,"video71.mp4
 

 Speaker1: [00:00:09] Hi, I'm Ben and I'm M, and we're on Kickstarter today because we want to bring biltong to America. Biltong is the South African version of beef jerky. I grew up in South Africa, where my grandfather owned a butchery. He made some of the best biltong in Pretoria and I've always wanted to share his legacy. When describing biltong, the best way is to imagine if prosciutto and jerky had a baby. That baby would be built on.
 

 Speaker2: [00:00:39] So biltong is cut with the grain and it's dried by air instead of heat, so it stays tender and delicious. We also don't use any preservatives or corn syrups, so unlike jerky with that sweet taste, biltong stays very natural. It's almost like tiny pieces of steak in a bag.
 

 Speaker1: [00:00:56] Biltong is perfect for the paleo lifestyle any high protein diet. Kids love it. Hikers. Basically anything with a mouth. And because it's similar to prosciutto, you can use it in dishes like pizza.
 

 Speaker2: [00:01:08] Salads.
 

 Speaker1: [00:01:09] Sandwiches.
 

 Speaker2: [00:01:10] You can even bake it into bread in muffins. So the company was built with two goals in mind one to bring biltong to America and two to make a difference in our neighborhood while doing so. Eat and feed is our way of giving back to the community. We give away 10% of our net profits in the form of actual biltong to local Brooklyn organizations.
 

 Speaker1: [00:01:30] We donate biltong because it's a sustainable, lean, healthy snack with a long shelf life. With your support, we can purchase our drying box. This is the last piece of equipment we need to get started and provide you with bolt on. We need your help to outfit our facility and make biltong a household name.",89.34,6,4,0,5,10
72,"video72.mp4
 

 Speaker1: [00:00:12] Organic beef jerky that's as healthy as it is affordable is extremely difficult to find, and we both love beef jerky, but we also care about what goes into our food. The problem is, is that the majority of beef jerkies are full of preservatives and nasty chemicals, but sweet meat is jerky. Reinvented. My name is George Livingston and I'm in Raffalovich and we are sweet meat jerky. About eight months ago, we started experimenting with different recipes, and what we wanted to accomplish was to create an organic product that didn't contain any of the artificial ingredients our competitors include like MSG, nitrates, and everything else artificial. After finding the perfect recipe, we knew that we could do better, so we didn't want to stop there. We wanted to package our product in a completely biodegradable and recyclable package so that when the product was gone, so was the package and the cycle can continue. In February, we started selling at the Nashville Farmers Market, but between school and our business, we weren't able to keep up. So we developed a relationship with an organic manufacturing company that can help our business grow. So we have the product and we have the packaging, but we need your help to bring the two together. The funds we raised from Kickstarter will allow us to place our first order and begin selling our product around Nashville. There's more information about Ian and I and our business on the page.
 

 [00:01:36] Thanks for watching.",97.11,7,4,0.36,6,10
73,"video73.mp4
 

 Speaker1: [00:00:02] I'm Jason Kurbjuweit. These are my colleagues Brandon Batiste, Kevin Hicks, Brent Labounty, and CEO Michael Carvalho. And we are the co-founders of True Gentleman's Jerky. You know, the idea for True Gentleman's Jerky actually probably follows us all the way back to our days at Cal Poly San Luis Obispo, where before we were gentlemen. Yeah. So? So, Jason, Kevin and I lived together, and we were actually lucky enough to taste a recipe that was passed down from generation to generation. And Jason's family of beef jerky. My dad taught me to make jerky. So his dad taught him to make a really good jerky. It was all natural. It was really delicious. And it really saved us from some. These are live props right now. Yeah. So his dad taught him to make a very, like, all natural, delicious beef jerky product that that we're all really lucky enough to have. But it wasn't really until we kind of graduated and Jason was studying for his CFA, and and I was studying for my MBA, and it really became crucial, actually, that we had an all, you know, all natural, really nutritious snack to kind of go to our corner store had chips and, and this rubbery product that they called beef jerky, but it really wasn't what we were looking for. We didn't want to be doing that to our body with this junk food. So we resorted back to the beef jerky that Jason had made in college and kind of started making it more frequently. He started giving it to some colleagues and friends, and at that point it started to really snowball, and we started maybe realizing we didn't have enough resources to supply it to everyone that you guys need to be chewing that loud. We currently have a goal of $10,000 for our Kickstarter campaign. I want to pass it over to our CPA, Kevin Hicks, to explain some of the goals in the future of our company.
 

 Speaker2: [00:01:33] Currently in the growth stage right now, we're experiencing a lot of startup expenses. We really need to improve our cash flow. We need more jerky.
 

 Speaker1: [00:01:42] I'm now going to throw it over to our CEO, Jason Kirby, who's going to share some of the future goals of our company with these Kickstarter proceeds. First, we'll be able to get into a larger kitchen and ultimately produce more jerky. We're also looking to obtain a more sustainable packaging, and we have other product lines and flavors that we'd love to bring to the market. Lastly, we want to continue doing what we've always done, which is obtaining locally sourced, all natural, healthy ingredients. These ingredients are the secret behind our low calorie, protein rich, handcrafted jerky, and we want to continue to maintain the personal relationships that we've formed with our vendors, because in the end, that's what a true gentleman does. Also, we could use more jerky.",98.58,6,14,1.32,6,10
74,"video74.mp4
 

 Speaker1: [00:00:01] I grew up eating jerky, I love jerky. Jerky is probably the one food that everybody loves. The reason I stopped eating it is because it wasn't healthy. So my thought was, why can't we change the game? Let's make a good one, you know, let's make a better version. The idea of think jerky is to think before you eat. It's to think about what you're putting in your body. All of our proteins are hormone and antibiotic free, grass fed beef and free range turkey. They're all sustainably farmed from local farmers across the country. Think about who's making these recipes to develop our recipes, I partnered with the country's best chefs.
 

 Speaker2: [00:00:41] I was so excited to have a chance to work on beef jerky or turkey jerky, and make it be what I've been looking for.
 

 Speaker3: [00:00:51] As far as him saying he wanted to keep it like chemical free is natural as possible. Just it was a breath of fresh air.
 

 Speaker4: [00:00:58] The interest I have for jerky is to go back to some of the roots, which is a very natural product, trying to create something that will be healthier, that will be a very good source of energy and make you feel good.
 

 Speaker2: [00:01:10] He wanted chef driven flavors created by chefs.
 

 Speaker3: [00:01:14] Geared towards not just men, geared towards men and women.
 

 Speaker1: [00:01:16] We're creating a consumer packaged good, but we're doing it with the precision and thoughtfulness and technique of some of the finest restaurants in the world. We're launching with flavors Sriracha Honey, which is the perfect combination of sweet and heat, and we use real honey ginger orange bright, clean flavor with some Asian undertones. Sweet Chipotle, which is made with real raspberries and smoky chipotle for. Thanksgiving we use real cranberries and a spice mix that will remind you of Thanksgiving.
 

 Speaker4: [00:01:51] When I came into the US in 97, I never experienced Thanksgiving, so it's really something that we we love celebrating.
 

 Speaker1: [00:02:00] So this is why we're on Kickstarter. It's because we're using the highest quality ingredients. And to be honest, it's very expensive. So the only way that we can make the quality product with integrity that we want and deliver it at an affordable price, is to order in very large quantities. We have the farms, we have the USDA facility, we have our ingredients source. We just need your help to make this project a reality. Now think healthy. Think delicious. Think jerky.",90.34,8,20,0.63,10,9
75,"video75.mp4
 

 Speaker1: [00:00:01] Hi, I'm Dan Ford, and welcome to bald Rock. This is my story of bald rock beef jerky. This is Ginger and this is my dog Blizzard. And they are both Australian kelpies. And this is my horse, Monte Cassino. I've always been interested in making my own beef jerky. I've tried all the beef jerky brands on the market, and I don't like buying those leathery, processed, full of preservatives brands. The beef jerky that I can't even eat a packet of. And the thing is, beef jerky does not need to be this way. This is how I first started making my beef jerky with a small food dryer. Then my friends took a liking to my beef jerky. And now everyone likes my beef jerky. And when my trays got taller than me, I decided it was time to do something bigger. And the result is my all natural product. This is real beef jerky. I make the best beef jerky. You can help me by sharing this with your friends and supporting my Kickstarter project.
 

 [00:01:20] Thanks for watching my video. See you next time!",7.47,6,7,0,6,10
76,"video76.mp4
 

 Speaker1: [00:00:04] Hey, Dave. I loved your meat in my mouth. Hey, I appreciate it. Thanks.
 

 Speaker2: [00:00:14] Hey, Dave. Your meat, your nuts. The total package.
 

 Speaker3: [00:00:17] Thank you. Thanks, guys.
 

 Speaker4: [00:00:21] Hey. Excuse me. What were the guys talking about over there?
 

 Speaker3: [00:00:25] Come on, I'll show you. Hi, I'm Dave. Thanks for checking out my project. Now let's take a look at my meat and nuts. I'm making all natural, awesome flavors of beef jerky and roasted nuts. I got tired of having mediocre products, so I decided I would do it better myself. Root beer, habanero, moist beef jerky, cinnamon, Jamaican dry beef jerky and a ghost pepper. Beef jerky with some serious heat or all ready to go. We have butter, toffee, almonds, citrus, chili, almonds, honey, cinnamon, almonds, orange honey and raspberry honey. Almonds are all ready to go as well. I only use the highest quality local all natural ingredients and then I treat them with all my love. Real smoke, real honey. Grass fed beef, delicious California almonds, no preservatives, no nitrates, nitrites, gluten free, and lots of other cool buzzwordy stuff. The quality is as good as it gets and there's something for everyone. The funds we raise on Kickstarter will be used to do larger runs of beef. This will not only help get the costs down, but it'll create a better product, a much more consistent flavor. Any extra funds will be used to develop the packaging and the labeling. I've been developing and testing the product and the process for over a year, with thousands of dollars and hours spent leading up to this point. I need your help to take it the rest of the way. I'm launching through Kickstarter because I'm a backer. I believe in the community and the power it has. All rewards will be delivered in time for the holidays, so get your loved ones what they've always wanted. Dave's meat and nuts. Please help me achieve my simple goal of putting my meats and nuts in as many mouths as possible. Thanks for watching. I appreciate your time, your support, and please reach out to me if I can answer any questions. So go back the project. Share it with your friends, your family, your coworker, the cute berry, your local coffee shop. You get the idea. Thanks again everyone!",60.39,6,0,2.28,6,9
77,"video77.mp4
 

 Speaker1: [00:00:01] Hey, Kickstarter, my name is Jesse and I'm here to talk to you about Sriracha beef jerky. But first I want to introduce you to a friend of mine. This is Lynette.
 

 Speaker2: [00:00:11] Hi Kickstarters. My name is Lynette, and I own LG's barbecue.
 

 Speaker1: [00:00:15] She's a loving mother to four beautiful children and also the owner of a small barbecue restaurant in northeast Tennessee. Between wrangling her kids and serving some of the best fresh smoked barbecue you've ever tasted, she also finds time for one of her favorite things of all fresh beef jerky. The restaurant business is a tricky one, and lately she's been relying more and more on sales of her beef jerky to make ends meet. Word has begun to spread, and now everybody in the area knows where to go to get the best beef jerky around. Now, let me tell you what makes this jerky so amazing. Unlike other products, this one has a secret ingredient genuine Sriracha sauce. You know the stuff? The big bottle full of red gold with the rooster on it. She goes through entire cases of it every week just to keep up with demand. There's simply something about that sauce that makes this jerky one of the most uniquely delicious things you could possibly imagine. She's just about reached her maximum capacity in terms of what she can do with her current equipment. So we're turning to you. Kickstarters to help her make it to the next level. In return for your generosity. You'll get some of the most incredibly delicious jerky you've ever tasted. Every batch is hand-trimmed to perfection, marinated and then given a generous stripe of sriracha for good measure. For those who don't like spicy, we also have a traditional teriyaki. There's also a kick and garlic version and a recipe from one of our favorite TV chefs. We'll just call that one the a B flavor. So go ahead, click on the back of this project button and get ready for your new favorite jerky. So tell me about the beef jerky.
 

 Speaker2: [00:02:10] The beef jerky. The garlic is my favorite, but the Sriracha is really unbeatable.
 

 Speaker3: [00:02:23] I'm nervous.
 

 Speaker2: [00:02:25] I'm nervous. That's what I do when I'm nervous.
 

 Speaker1: [00:02:28] Why are you nervous?
 

 [00:02:29] Because I'm not. Because I'm not a camera gal.",76.66,6,12,0.67,4,10
78,"video78.mp4
 

 Speaker1: [00:00:02] Hi. I'm Andy. Of uncle Andy's jerky. People tell me all the time they don't like jerky. I typically ask them, do you eat meat? If so, there's no reason you shouldn't love jerky. It really comes down to flavors. I was at a steakhouse one night and had this amazing mushroom blue cheese steak. Wondered why can't we take this out with us? Backpacking on a road trip? So that's exactly what we did. Introducing Boise's mushroom blue cheese beef jerky. As a startup, we faced many challenges developing new flavors with package design and recipe development. We're asking for your help to get this first production run rolling of this amazing new flavor. In return, you'll be one of the first people to try this jerky, as well as have an exclusive right to her mushroom, blue cheese, everything seasoning to be used on steaks, burgers, fish, potato salad just about anything. But this perk is only available for those who pledge to earn our fundraising campaign. You've spoken and we've listened. This is just the start of us bringing you seasonal and limited run offerings. With your help, we can begin the journey and bringing you the flavors that you love.",97.27,7,12,0.44,6,10
79,"video79.mp4
 

 Speaker1: [00:00:04] Hi, I'm Jim Nielsen. This is my partner, Monica Wallace, and we are Jimmy Sticky Jerky, based in Los Angeles, California. We have been or I have been making jerky for about 15 years. And Monica here talked me into doing it for business. So now we're flat broke.
 

 Speaker2: [00:00:24] Right now we're working out of our home office, which isn't bad.
 

 Speaker1: [00:00:32] We need a new office. What flavors do we have, you ask? We have plenty. We have beef. Sweet. We have turkey heat. We also have turkey, sweet and beef. Heat. Cilantro and lime. Very good. It's a new flavor. Our new barbecue flavor is pretty amazing. Black pepper. If you like. Black pepper, chock full of black pepper. We have fire. It's got the ghost pepper. We have the sage. They're really freaking hot. Notice the cow's eyes are red. That's from eating R of H. This is a step where we actually make the jerky. We actually cook it. We could really use some new equipment. It seems a little outdated. That didn't work. So. We started this business with very little money just basically what we had in our pockets. But we're coming up against now is the ability to increase our production to the point where we can actually start doing this for a living versus just something we want to do.
 

 Speaker3: [00:01:51] We have we have the product. We know it's good. It's doing fantastic in all the ratings. We're getting all of the orders, and now we're at the point where we're going to max out on our production for what we can do to handle our current volume. And we want to do that next step.
 

 Speaker1: [00:02:05] Right. The next step is making thousands more bags than what we're doing now, like.
 

 Speaker3: [00:02:10] Keeping the same.
 

 Speaker1: [00:02:10] Or keeping the same quality.
 

 Speaker3: [00:02:15] We really need to increase our advertising budget.
 

 Speaker1: [00:02:25] Nice. That's sad. We are Jimmy Sticky jerky. And remember, it's always better when it's sticky.",98.56,5,4,0.51,6,7
80,"video80.mp4
 

 Speaker1: [00:00:07] Hey, Kickstarter. I'm Brad, owner of Savage Jerky Company. First, I want to thank everyone that supported our first Kickstarter campaign. We had such amazing success and had a chance to meet some incredible people, many of whom have become friends and customers. There have been many exciting things happen over the past several months. We had a baby. We're producing jerky that people love, but most importantly, we've rekindled our love of Sriracha. That's why I'm here today. We've had some incredible feedback from fans over the past several months, and even people that love the hottest stuff we make ask us for a few milder flavors. We feel that Sriracha is the answer. With your help, we'd like to introduce three new flavors to our current lineup. All three of these highlight the subtle sweetness of Sriracha, but also stand on their own. Sweet. Sriracha. Barbecue. Sriracha. Teriyaki and Sriracha bacon jerky will provide those that want the heat, the distinct chili flavor that Sriracha offers, while giving those that don't necessarily like spicy foods something enjoyable to snack on. With your help, we can take our finalized recipes through the steps necessary to reach a broader market. This includes things like purchasing new packaging, obtaining nutritional analysis, FDA approval, and ultimately producing an initial order large enough to fulfill Kickstarter rewards and have product on hand. As always, our jerky remains produced by hand in small batches free of nitrates, nitrites, and preservatives. We only use the best ingredients to maintain the highest level of quality. Thank you for your time and support, and we hope that with your help, we can keep growing and continue to providing all natural snacks.
 

 [00:01:54] That people love.",98.66,6,2,0.63,7,10
81,"video81.mp4
 

 Speaker1: [00:00:07] Hi, I'm Brad. Thank you for taking the time to check out our Kickstarter page and learn a little bit more about our product. Hopefully this video will answer any questions you have, but feel free to shoot us a message if you'd like to know more. Simply put, Brave Jerky is handcrafted jerky for people who like spicy things. We constantly found ourselves on road trips, searching shelves at the local market for unique and spicy flavors of jerky. We were disappointed. Unfortunately, we were left with big box brands and very little choice. We asked around and found out we weren't alone, so we went to work. In addition to being a spicy alternative to otherwise bland flavors, Brave Jerky uses the freshest ingredients available and is always made with 100% USDA choice top round. We've developed flavors that vary in heat level, all while providing great flavor without the use of soy sauce or other overly salty marinades. We chose Kickstarter as a starting point because we love the community. Backers are often as creative and passionate about projects as the creators. We love watching projects take life. That's why we're backers ourselves. We need the funds to take Brave Jerky to the next level. We've taken a great amount of feedback, refined the recipes, and hammered out the methods. Now we're ready for the world to try it. We need your help getting there. The funds from this campaign will go directly back into the product. We'll be purchasing, packaging, labeling, and working directly with a locally and family owned kitchen to produce our recipes to scale, all while providing the oversight needed to maintain the quality that we demand. Again, thank you for taking the time out of your busy day to find out more about our project and helping us make our dream a reality. Please feel free to let us know if there are any questions we can answer.
 

 [00:02:30] Along the way.",98.98,6,1,1.12,7,10
82,"video82.mp4
 

 Speaker1: [00:00:00] Hi, my name is Matt Melnick and I'm the founder of Lawless Jerky, a small batch gourmet beef jerky company started right here on Kickstarter back in April. I'm back again, looking to raise funds to now grow the company. In this video, I'm going to be answering some questions sent in from our fans from around the country. And then I'm going to turn it over to some of our backers from the first project, talking about why they like lawless jerky in their own words.
 

 Speaker2: [00:00:23] Hi, I'm Steven, I got a question. What motivated you to do the first Kickstarter?
 

 Speaker1: [00:00:28] Yeah, I knew I had great recipes and plenty of passion, but just didn't have the money, and going on Kickstarter would be a great way to share the kickoff of my company with a dedicated following who could really be there through the journey, and it's really worked out that way. I've become Facebook friends, I've emailed with, and I've even met up with some of the backers.
 

 Speaker3: [00:00:52] My name is Mark and I'm an original lawless, jerky supporter. I want to ask Matt, were you surprised to hit your goal on Kickstarter so quickly?
 

 Speaker1: [00:01:00] Yes, I was definitely surprised to meet the goal in one day. I knew we had a chance to raise our goal. But never having been on Kickstarter, I just didn't know what it was capable of. But I have a really tight group of friends and family who came out for me right at the start of the Kickstarter project. And then the Kickstarter community chimed in, and eventually there were more backers donating more funds from the Kickstarter community than even people that I knew. And that was really validating and made me feel great.
 

 Speaker4: [00:01:27] Hi, I'm Heather, I'm from Kansas, and as a backer of Lawless Jerky, I just want to know where does Lawless Jerky stand as a business now?
 

 Speaker1: [00:01:35] Prior to the Kickstarter, we did not have a commercial product that we could sell. We did not have an e-commerce website. Now we have both, and we also have a handful of specialty and gourmet stores, bottle shops, and even a gym that's carrying our product.
 

 Speaker5: [00:01:50] Hi, my name is Catherine. I'm a big lawless, jerky fan. I used to ski, instruct, and eat jerky all the time, and I wanted to ask Matt, what brings you back to Kickstarter and what makes this project a sequel?
 

 Speaker6: [00:02:02] Yeah, this.
 

 Speaker1: [00:02:03] Campaign is really a sequel to the first campaign. In that Kickstarter, the VIP level backers were able to create some pretty interesting jerky flavors, which I then got in the kitchen and created recipes for. They came out so well that I need to bring them to the market ASAP. I want Lawless Jerky to grow. I want you to be able to go to a local retailer in your area and find it on the shelf. I want you to be able to say, hey, I helped make that happen. I help put lawless jerky on the map.
 

 Speaker7: [00:02:32] Kip Barnes, John Rockwell, Los Angeles ale works. So, Matt, we had a question for you. Your first Kickstarter was awesome with lawless jerky. Yeah. And now what do you expect to accomplish with the second Kickstarter?
 

 Speaker1: [00:02:44] I expect the Kickstarter community, friends and family to come out again to come out strong, and if not for me, then for their own taste buds. These three new flavors that we're going to be debuting are awesome. The first one is a Vietnamese pho flavor which is full of herbs. You've got cilantro, basil, jalapeno for a little bit of heat. I've got a paleo pepper flavor. It uses four different peppers a green, a white, a pink pepper which is really floral and savory, and then your standard black pepper. Finally, there's mango habanero. It's got a sweetness and it's got a heat to it. Together, it's really excellent. I personally want to give a special thanks to all 683 of my initial backers who have helped us get this far along, and everyone else who's given support along the way. But without further ado, enough of me. I hope you guys really enjoy these videos made by some pretty hardcore, lawless, jerky fans that good.
 

 Speaker8: [00:03:40] Looking turkey.
 

 Speaker5: [00:03:42] So I know it's going to be a good weekend. When I started off the tall glass of scotch and a big mouthful of lawless jerky.
 

 Speaker9: [00:03:47] This is my first time trying lawless, jerky Japanese curry. Not a big fan of curry, but.
 

 Speaker10: [00:03:54] The first taste was incredible and it basically started a fight in the household because it really did.
 

 Speaker9: [00:04:02] This is so fresh.
 

 Speaker10: [00:04:04] We you know, both wanted the last little bits of jerky, and.
 

 Speaker11: [00:04:08] Know, I.
 

 Speaker10: [00:04:09] Was I really didn't want to share. What I love most about lawless jerky is how clearly identifiable the flavors are.
 

 Speaker12: [00:04:17] There are so many amazing flavors that you won't get jerky fatigue.
 

 [00:04:22] And it really wants to open it.
 

 Speaker13: [00:04:26] It's got a ton of protein in it. And obviously that helps me get through my day.
 

 Speaker12: [00:04:31] It's not only a great high protein portable snack. It tastes amazing. My favorite flavor right now is the pho.
 

 Speaker14: [00:04:38] We also have samples of the new one of the new flavors potentially. Pho, which we've been waiting to try.
 

 Speaker10: [00:04:46] We saved this especially for you.
 

 Speaker15: [00:04:49] Is that your favorite kind of jerky over here?
 

 [00:04:52] Usher. No. No. No. Usher.
 

 Speaker12: [00:05:02] It tastes exactly like, you know, sitting down in your favorite Vietnamese restaurant having a bowl of pho.
 

 Speaker14: [00:05:07] This is really good.
 

 Speaker10: [00:05:09] This is excellent.
 

 Speaker13: [00:05:09] Having a bag of lollies. Jerky on hand helps me at least get through the day.
 

 Speaker15: [00:05:13] Would you ever eat any other kind of jerky?
 

 Speaker8: [00:05:16] No.
 

 Speaker14: [00:05:18] You don't even have to eat it to know that this is going to be like a party in your mouth.
 

 Speaker13: [00:05:26] On my way to dinner getting a workout in. I couldn't live without my jerky lawless jerky.
 

 Speaker14: [00:05:34] You guys need to get some if you haven't tried it.
 

 Speaker12: [00:05:37] So you should definitely give it a try.
 

 Speaker9: [00:05:40] Hands down. Best beef jerky I've ever had.
 

 Speaker10: [00:05:45] Yes. Yeah. You know, honestly, if I ever want to make more friends, this would be the first thing that I would give them. Thank you.
 

 Speaker16: [00:06:01] Hi, I'm Mike Fox, and I'm one of the original backers for lawless Jerky Boy. Let me tell you, I love this product. They're like, where's the jerky? I ate it all.
 

 [00:06:11] Oh come on.",48.38,7,11,1.56,10,10
83,"video83.mp4
 

 Speaker1: [00:00:00] Hi, I'm Matt and I'm the creator of Lawless Jerky. The best beef jerky you've never had. Lawless jerky is not for weak, puny, or uninspired taste buds. It packs intense and complex flavor and lots of it. Our original flavor wasn't a simple, sweet, hot or pepper jerky. It was Japanese curry, a salty, sweet, and umami flavor. And it's the only Japanese curry beef jerky in the world. Don't believe me? Don't have to Google it. But lawless, jerky world of flavor doesn't stop in Asia. It starts there. We've got American barbecue, Hawaiian teriyaki and Thai chili, plus honey, chipotle and bacon, salt and pepper. You could go anywhere with lawless jerky. The Wild West was a lawless place. Home to big hopes, big dreams and big risks. Like early pioneers, I went west seeking opportunity. But not on a gold rush. I went to law school and became an attorney, all in pursuit of a legal career that I thought would fulfill my dreams. But before long it became clear to me that practicing law made me less happy. It was then that lawless jerky was born. Lawless jerky is so deliciously addictive that it should be illegal. Come to think of it, it is illegal in all 50 states, but not because of its killer flavor. You can't buy it, and I can't sell it because lawless jerky is not made in a USDA approved facility. But this can change. Nay, this must change. Future backers. That's where you come in. The goal of this project is to raise $12,000 to produce an initial batch of lawless, jerky, six flavors at a facility right here in California. Us of a. I have found my true calling, one that allows me to be both creative and entrepreneurial, one that allows me to be happy. If you support my efforts to make lawless, jerky law full jerky, your taste buds and yours truly will be forever grateful.
 

 Speaker2: [00:02:03] Lucky lager.",16,7,0,0.82,6,10
